Model,shipping_container.g
Export Date,2026-08-17 16:34:42
Total Errors,53
Total Warnings,0
Total Passed,25

Severity,Test Name,Description,Object,Path
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1000/container_doorhingepin.r_06 /all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_014 count:1 dist:11.0713mm @ (2987 1195.11 3291)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1000/container_doorhinge1.r_06 /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_2.r count:2 dist:4.1mm @ (2963.57 1180 3323)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_latch_lock1-rh-944/container_latching_rod-929/container_latch_01b.r_02 /all/shipping_container/container_frame/container_door_latches/container_latch_09rh2.r_01 count:3 dist:0.925mm @ (2979.44 -260 1595)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_latch_lock1-rh-944/container_latching_rod-929/container_latch_01a.r_02 /all/shipping_container/container_frame/container_doorframe/doorframe_upper_lintel/doorframe_upper_1.r count:1 dist:4.49628mm @ (2963.17 -260 4283)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-824/container_doorhinge1.r_04 /all/shipping_container/container_frame/container_doorframe/container_doorframe_cornerpost/doorframe_cornerpost1_2.r count:2 dist:2.9871mm @ (2964.68 -1188 1755)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-813/container_doorhinge1.r_03 /all/shipping_container/container_frame/container_doorframe/container_doorframe_cornerpost/doorframe_cornerpost1_2.r count:3 dist:2.9871mm @ (2964.68 -1188 2587)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-802/container_doorhingepin.r_02 /all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_003 count:1 dist:11.0713mm @ (2987 -1206.19 3387)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-802/container_doorhingepin.r_02 /all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_006 count:1 dist:11.0713mm @ (2987 -1206.19 3291)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-802/container_doorhinge1.r_02 /all/shipping_container/container_frame/container_doorframe/container_doorframe_cornerpost/doorframe_cornerpost1_2.r count:2 dist:2.9871mm @ (2964.68 -1188 3323)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doora/container_doorhinge-779/container_doorhinge1.r_01 /all/shipping_container/container_frame/container_doorframe/container_doorframe_cornerpost/doorframe_cornerpost1_2.r count:3 dist:2.9871mm @ (2964.68 -1188 4123)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/cargo/cargo_box2/cargo_box.r2i /all/cargo/cargo_box2/cargo_box.r2 count:4805 dist:1990mm @ (-981 -995 1755)","all","/all",""
"PASSED","No nested regions","No issues found","all","/all",""
"PASSED","No empty combos","No issues found","all","/all",""
"PASSED","No solids outside of regions","No issues found","all","/all",""
"PASSED","All BoTs are volume mode (should return nothing)","No issues found","all","/all",""
"PASSED","No BoTs are left hand orientation","No issues found","all","/all",""
"PASSED","All regions have material","No issues found","all","/all",""
"PASSED","All regions have LOS","No issues found","all","/all",""
"PASSED","No regions have aircodes (except actual air regions)","No issues found","all","/all",""
